customer_id,churn,age,gender,marital_status,education_level,dependent_count,occupation_type,annual_income,income_band,income_category,city_tier,region,customer_segment,tenure_months,onboarding_channel,relationship_type,number_of_products,primary_account_type,card_category,customer_lifetime_value,loyalty_program_member,referral_count,last_contacted_days,relationship_manager_assigned,avg_monthly_balance,current_balance,balance_decline_percentage,monthly_transaction_count,monthly_transaction_value,cash_withdrawal_count,upi_transaction_count,debit_card_transaction_count,net_banking_transaction_count,account_inactive_days,total_trans_amt,total_trans_count,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_open_to_buy,total_revolving_bal,savings_account_flag,current_account_flag,credit_card_flag,personal_loan_flag,home_loan_flag,auto_loan_flag,fixed_deposit_flag,investment_product_flag,insurance_product_flag,demat_account_flag,credit_card_limit,credit_card_spend,credit_utilization_ratio,minimum_due_paid_flag,late_credit_card_payment_count,loan_outstanding_amount,emi_amount,emi_payment_delay_count,loan_default_risk_score,prepayment_flag,mobile_app_login_count,website_login_count,digital_transaction_ratio,last_login_days,failed_login_count,app_rating_given,paperless_statement_enabled,digital_service_usage_score,mobile_banking_active_flag,email_open_rate,total_complaints,complaint_resolution_time,unresolved_complaint_count,branch_visit_count,call_center_interaction_count,relationship_manager_interaction_count,service_request_count,escalation_count,satisfaction_score,nps_score,campaign_received_count,campaign_response_count,cross_sell_offer_count,upsell_offer_count,retention_offer_received,retention_offer_accepted,last_campaign_response_days,discount_or_fee_waiver_received,competitor_bank_offer_awareness,customer_feedback_sentiment,monthly_income_estimate,credit_utilization_3m_avg,credit_utilization_6m_avg,avg_quarterly_balance,total_digital_logins,debt_to_income_ratio,digital_engagement_index
133001,0,36,female,married,unknown,0,salaried,22256.0,low,less than $40k,tier 2,north,affluent,24,branch,multi-product,4,savings,blue,4800.15,0,0,7,1,9674.0,10885.0,-2.18,3,146.25,7,11,8,10,93,1755,42,0.686,0.448,340.0,2230,1,1,1,0,0,0,1,1,1,0,2570.0,1401.0,0.868,1,2,0.0,0.0,0,24.1,0,21,12,0.806,59,2,5.0,1,57.5,1,0.558,0,0,0,2,2,7,3,0,5.0,66,4,1,1,0,1,1,8,0,not aware,positive,1663,0.839,0.721,28420.0,33,0.0,55.6
133002,1,44,male,single,high school,3,homemaker,66481.0,middle,$60k - $80k,tier 2,west,affluent,36,branch,savings only,5,salary,silver,4777.34,1,0,115,1,3770.0,3056.0,20.13,3,190.17,4,10,5,5,67,2282,38,0.849,0.583,22381.5,0,0,0,1,0,0,0,0,1,0,0,23589.5,1310.0,0.0,0,4,0.0,0.0,0,57.7,0,15,4,0.833,16,2,3.9,1,57.1,1,0.124,3,15,2,2,3,3,1,0,4.2,35,5,0,0,0,1,1,158,1,high,positive,4979,0.009,0.0,11501.0,19,0.0,54.5
133003,0,46,male,married,high school,2,salaried,98955.0,upper-middle,$80k - $120k,tier 3,south,affluent,30,online,investment,6,savings,blue,23249.4,0,0,30,1,3746.0,5211.0,8.15,7,356.42,5,15,7,8,96,4277,89,0.892,0.854,10755.0,915,1,0,1,0,0,0,0,0,0,0,11670.0,3397.0,0.078,1,2,0.0,0.0,0,54.2,0,19,12,0.857,40,1,3.8,0,57.0,1,0.173,0,0,0,3,1,11,2,0,4.9,85,4,0,3,2,0,0,3,0,low,positive,8716,0.104,0.169,11619.0,31,0.0,43.0
133004,0,36,female,married,graduate,2,retired,26735.0,low,less than $40k,tier 2,north,mass,24,online,multi-product,3,savings,blue,2695.0,1,2,52,0,9081.0,8957.0,-13.13,3,137.67,6,9,11,7,41,1652,41,0.869,0.367,1531.0,1593,0,1,1,1,0,0,0,0,1,0,3124.0,770.0,0.51,1,1,31664.0,1144.0,0,32.3,0,20,9,0.818,14,0,3.9,1,64.6,1,0.434,2,1,0,1,3,0,0,0,3.1,-4,4,0,1,1,0,0,15,0,medium,neutral,2177,0.438,0.439,26458.0,29,0.5135,57.2
133005,0,50,male,single,graduate,1,salaried,144555.5,high,$120k +,tier 2,south,hni,40,dsa,multi-product,4,savings,blue,36619.935,0,2,10,1,7811.0,9385.0,8.34,6,322.83,4,13,10,6,63,3874,72,0.725,0.714,22381.5,1185,1,1,1,0,1,0,1,1,0,1,23589.5,2549.0,0.034,1,0,67040.0,3155.0,0,59.0,1,16,6,0.879,13,4,3.6,1,62.9,1,0.37,2,2,0,6,3,4,2,0,2.6,38,2,0,3,0,0,0,60,1,low,positive,15401,0.061,0.039,23938.0,22,0.2289,56.1
133006,1,43,male,single,uneducated,3,salaried,98797.0,upper-middle,$80k - $120k,tier 2,central,affluent,30,online,multi-product,3,savings,blue,7836.32,0,0,84,1,8857.0,6613.0,20.82,3,150.75,1,14,4,6,64,1809,39,0.691,0.345,11336.0,0,1,1,1,0,0,0,0,1,0,0,11336.0,900.0,0.0,0,1,0.0,0.0,0,51.9,0,15,10,0.96,8,2,3.3,0,56.0,1,0.54,3,6,0,1,4,1,4,0,2.3,-27,0,0,2,2,1,0,285,1,medium,neutral,8683,0.007,0.023,25986.0,25,0.0,46.5
133007,0,42,female,married,graduate,3,student,24608.0,low,less than $40k,tier 1,south,affluent,33,branch,multi-product,2,current,blue,7029.82,0,1,4,0,26152.0,20349.0,-0.88,6,656.0,3,18,13,9,103,7872,80,0.72,0.538,2250.0,1544,1,0,1,0,0,0,0,0,0,0,3794.0,3893.0,0.407,1,1,0.0,0.0,0,54.5,0,25,8,0.93,7,2,3.9,1,66.2,1,0.412,1,3,0,2,1,0,1,0,5.0,55,3,0,3,1,0,0,196,0,low,positive,1925,0.303,0.388,74492.0,33,0.0,62.4
133008,0,48,female,divorced,college,3,salaried,39925.0,lower-middle,less than $40k,tier 1,west,affluent,36,branch,savings only,4,current,blue,6693.36,1,0,24,1,16750.0,12144.0,9.67,2,113.5,8,18,10,4,117,1362,33,0.537,0.269,490.0,1845,1,0,1,1,0,0,0,0,0,1,2335.0,929.0,0.79,1,1,31440.0,711.0,0,49.3,0,20,11,0.8,19,1,3.1,1,56.7,1,0.283,1,11,0,3,3,6,1,0,3.8,73,0,0,1,2,0,0,7,0,low,negative,4041,0.758,0.723,49848.0,31,0.2137,59.0
133009,0,29,male,divorced,graduate,1,salaried,19414.0,low,less than $40k,tier 1,south,affluent,36,dsa,savings only,4,current,blue,4264.58,1,1,68,1,16628.0,22651.0,6.7,10,720.325,5,16,9,9,117,8644,124,0.632,0.771,2700.0,1139,1,1,1,1,0,0,1,0,0,0,3839.0,4031.0,0.297,1,1,63277.0,3099.0,0,69.3,0,20,8,0.872,12,1,3.9,1,59.5,1,0.027,1,1,0,5,2,3,1,0,3.4,68,4,1,0,2,0,0,34,0,not aware,positive,1368,0.326,0.195,50729.0,28,1.9155,58.6
133010,0,55,female,single,graduate,2,salaried,27639.0,low,less than $40k,tier 3,south,mass,47,referral,savings only,3,savings,silver,7556.88,1,0,27,0,15421.0,16461.0,-12.79,5,308.75,4,17,8,15,94,3705,69,0.56,0.917,13565.0,0,1,0,1,0,0,0,0,1,0,0,13565.0,2063.0,0.0,1,0,0.0,0.0,0,52.8,0,19,9,0.909,26,0,3.9,1,63.7,1,0.618,0,0,0,3,1,0,2,0,4.4,20,9,1,3,1,0,0,15,1,not aware,positive,2288,0.001,0.051,46439.0,28,0.0,61.4
