iter	Passed	Remaining
0	216	108251
1	260	64748
2	305	50574
3	351	43537
4	397	39366
5	440	36229
6	479	33800
7	518	31863
8	556	30371
9	599	29369
10	645	28704
11	690	28081
12	735	27537
13	774	26901
14	813	26302
15	852	25783
16	891	25335
17	934	25030
18	981	24839
19	1030	24741
20	1074	24512
21	1113	24194
22	1151	23889
23	1195	23720
24	1240	23567
25	1286	23445
26	1331	23324
27	1371	23118
28	1410	22911
29	1454	22784
30	1498	22676
31	1544	22584
32	1588	22486
33	1628	22324
34	1667	22158
35	1711	22055
36	1757	21993
37	1802	21915
38	1847	21841
39	1887	21702
40	1924	21544
41	1964	21427
42	2008	21343
43	2052	21272
44	2097	21211
45	2139	21115
46	2177	20986
47	2215	20860
48	2252	20734
49	2291	20626
50	2337	20582
51	2384	20540
52	2430	20500
53	2473	20425
54	2510	20308
55	2547	20199
56	2587	20109
57	2625	20011
58	2670	19958
59	2714	19903
60	2757	19846
61	2802	19800
62	2841	19708
63	2879	19616
64	2914	19507
65	2953	19421
66	2994	19353
67	3038	19301
68	3082	19255
69	3126	19205
70	3166	19131
71	3205	19054
72	3243	18970
73	3280	18886
74	3318	18807
75	3362	18760
76	3407	18719
77	3454	18690
78	3496	18632
79	3533	18551
80	3569	18465
81	3610	18407
82	3654	18359
83	3698	18315
84	3742	18270
85	3779	18194
86	3816	18119
87	3858	18063
88	3900	18010
89	3944	17968
90	3981	17894
91	4018	17823
92	4056	17751
93	4094	17684
94	4132	17617
95	4171	17555
96	4213	17504
97	4253	17446
98	4294	17394
99	4335	17340
100	4375	17284
101	4414	17226
102	4451	17157
103	4492	17106
104	4529	17038
105	4565	16968
106	4604	16911
107	4641	16846
108	4678	16783
109	4717	16726
110	4755	16664
111	4792	16603
112	4831	16545
113	4868	16485
114	4904	16420
115	4941	16357
116	4978	16298
117	5017	16241
118	5054	16182
119	5091	16123
120	5128	16063
121	5165	16003
122	5201	15942
123	5237	15881
124	5275	15825
125	5312	15768
126	5349	15710
127	5385	15652
128	5424	15601
129	5462	15547
130	5503	15503
131	5542	15452
132	5580	15399
133	5618	15347
134	5657	15296
135	5697	15249
136	5736	15198
137	5774	15147
138	5811	15092
139	5848	15038
140	5885	14985
141	5923	14933
142	5960	14880
143	5996	14824
144	6035	14775
145	6071	14722
146	6109	14669
147	6147	14620
148	6184	14567
149	6221	14516
150	6259	14466
151	6294	14412
152	6333	14363
153	6370	14313
154	6409	14265
155	6446	14215
156	6484	14166
157	6520	14113
158	6558	14065
159	6595	14015
160	6632	13966
161	6669	13916
162	6705	13864
163	6742	13814
164	6776	13758
165	6813	13709
166	6850	13660
167	6886	13609
168	6923	13561
169	6960	13510
170	6997	13462
171	7035	13416
172	7073	13370
173	7109	13319
174	7146	13271
175	7182	13222
176	7220	13175
177	7251	13118
178	7287	13069
179	7324	13022
180	7360	12972
181	7398	12927
182	7437	12883
183	7473	12835
184	7511	12789
185	7544	12735
186	7580	12687
187	7616	12640
188	7654	12595
189	7690	12548
190	7724	12496
191	7759	12447
192	7797	12403
193	7834	12357
194	7871	12311
195	7907	12265
196	7942	12216
197	7978	12168
198	8015	12124
199	8053	12079
200	8089	12033
201	8122	11982
202	8153	11928
203	8185	11876
204	8218	11825
205	8250	11775
206	8286	11729
207	8318	11678
208	8354	11632
209	8391	11588
210	8426	11541
211	8464	11498
212	8500	11453
213	8536	11408
214	8573	11365
215	8608	11318
216	8644	11273
217	8678	11225
218	8714	11181
219	8748	11133
220	8781	11085
221	8814	11037
222	8849	10993
223	8882	10944
224	8916	10897
225	8954	10855
226	8987	10808
227	9023	10764
228	9055	10716
229	9088	10668
230	9120	10620
231	9156	10576
232	9192	10534
233	9227	10489
234	9260	10442
235	9292	10394
236	9326	10349
237	9365	10309
238	9399	10264
239	9431	10217
240	9464	10171
241	9497	10125
242	9528	10077
243	9561	10031
244	9599	9991
245	9637	9950
246	9669	9903
247	9704	9861
248	9739	9817
249	9774	9774
250	9805	9727
251	9838	9682
252	9872	9638
253	9907	9595
254	9941	9551
255	9978	9510
256	10012	9467
257	10049	9426
258	10085	9384
259	10121	9343
260	10157	9301
261	10195	9261
262	10230	9218
263	10266	9177
264	10303	9137
265	10339	9095
266	10373	9052
267	10402	9005
268	10436	8962
269	10471	8919
270	10505	8877
271	10542	8836
272	10576	8794
273	10609	8751
274	10643	8708
275	10674	8663
276	10706	8619
277	10744	8580
278	10787	8545
279	10825	8505
280	10865	8468
281	10901	8427
282	10940	8388
283	10977	8348
284	11015	8309
285	11051	8269
286	11088	8229
287	11126	8190
288	11162	8150
289	11200	8110
290	11238	8071
291	11281	8036
292	11321	7998
293	11359	7959
294	11399	7921
295	11433	7879
296	11465	7837
297	11504	7798
298	11548	7763
299	11588	7725
300	11627	7687
301	11667	7649
302	11706	7611
303	11751	7576
304	11791	7538
305	11829	7500
306	11869	7461
307	11908	7423
308	11951	7387
309	11991	7349
310	12031	7311
311	12075	7276
312	12115	7238
313	12151	7198
314	12189	7158
315	12226	7119
316	12264	7079
317	12307	7043
318	12346	7005
319	12383	6965
320	12424	6928
321	12464	6890
322	12502	6851
323	12546	6815
324	12591	6780
325	12631	6741
326	12668	6702
327	12705	6662
328	12743	6623
329	12781	6584
330	12820	6545
331	12860	6507
332	12894	6466
333	12930	6426
334	12966	6386
335	13000	6345
336	13037	6305
337	13071	6265
338	13113	6227
339	13149	6188
340	13187	6148
341	13222	6108
342	13258	6068
343	13293	6028
344	13329	5988
345	13365	5948
346	13401	5909
347	13441	5871
348	13486	5834
349	13521	5794
350	13558	5755
351	13597	5717
352	13645	5682
353	13687	5645
354	13722	5605
355	13760	5566
356	13797	5526
357	13834	5487
358	13870	5447
359	13906	5408
360	13942	5368
361	13978	5328
362	14013	5288
363	14049	5249
364	14084	5209
365	14118	5169
366	14152	5128
367	14189	5089
368	14223	5049
369	14260	5010
370	14294	4970
371	14332	4931
372	14374	4894
373	14409	4854
374	14445	4815
375	14487	4777
376	14524	4738
377	14561	4699
378	14596	4660
379	14630	4620
380	14665	4580
381	14700	4541
382	14734	4501
383	14767	4461
384	14803	4421
385	14839	4382
386	14873	4342
387	14908	4303
388	14943	4263
389	14978	4224
390	15017	4186
391	15050	4146
392	15086	4107
393	15122	4068
394	15158	4029
395	15195	3990
396	15230	3951
397	15266	3912
398	15301	3873
399	15337	3834
400	15373	3795
401	15406	3755
402	15439	3716
403	15478	3677
404	15514	3639
405	15549	3600
406	15582	3560
407	15615	3521
408	15651	3482
409	15687	3443
410	15725	3405
411	15758	3365
412	15792	3326
413	15826	3287
414	15860	3248
415	15895	3209
416	15936	3172
417	15982	3135
418	16021	3097
419	16054	3058
420	16089	3019
421	16124	2980
422	16158	2941
423	16193	2902
424	16226	2863
425	16263	2825
426	16299	2786
427	16336	2748
428	16370	2709
429	16405	2670
430	16440	2632
431	16478	2593
432	16516	2555
433	16550	2516
434	16586	2478
435	16622	2439
436	16655	2401
437	16690	2362
438	16723	2323
