customer_id,churn_probability,churn_prediction,actual_churn,customer_value,risk_tier,priority_score,revenue_at_risk,recoverable_revenue,net_benefit,wealth_tier,recommended_action
133001,0.0002,0,0,0.1665,Low,0.0,1.0,0.0,0.0,Basic,Standard retention nurture
133002,1.0,1,1,0.2415,Critical,0.2415,4777.0,1433.0,933.0,Basic,Relationship manager follow-up
133003,0.0001,0,0,0.5572,Low,0.0001,2.0,1.0,1.0,Premium,Standard retention nurture
133004,0.001,0,0,0.1258,Low,0.0001,3.0,1.0,1.0,Basic,Standard retention nurture
133005,0.0009,0,0,0.797,Low,0.0007,33.0,10.0,10.0,Elite,Standard retention nurture
133006,0.9996,1,1,0.3314,Critical,0.3313,7833.0,2350.0,1850.0,Standard,Relationship manager follow-up
133007,0.0,0,0,0.2487,Low,0.0,0.0,0.0,0.0,Basic,Standard retention nurture
133008,0.0001,0,0,0.2636,Low,0.0,1.0,0.0,0.0,Standard,Standard retention nurture
133009,0.0,0,0,0.192,Low,0.0,0.0,0.0,0.0,Basic,Standard retention nurture
133010,0.0,0,0,0.223,Low,0.0,0.0,0.0,0.0,Basic,Standard retention nurture
133011,1.0,1,1,0.1619,Critical,0.1619,2665.0,800.0,300.0,Basic,Relationship manager follow-up
133012,1.0,1,1,0.1391,Critical,0.1391,3184.0,955.0,455.0,Basic,Relationship manager follow-up
133013,0.0,0,0,0.1802,Low,0.0,0.0,0.0,0.0,Basic,Standard retention nurture
133014,0.0005,0,0,0.5329,Low,0.0003,8.0,2.0,2.0,Premium,Standard retention nurture
133015,0.0,0,0,0.3664,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133016,0.0003,0,0,0.3576,Low,0.0001,4.0,1.0,1.0,Standard,Standard retention nurture
133017,0.0,0,0,0.5712,Low,0.0,0.0,0.0,0.0,Premium,Standard retention nurture
133018,0.0,0,0,0.4729,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133019,0.0,0,0,0.2891,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133020,0.0164,0,0,0.1784,Low,0.0029,50.0,15.0,15.0,Basic,Standard retention nurture
133021,0.0,0,0,0.3022,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133022,0.0,0,0,0.3333,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133023,0.0,0,0,0.3401,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133024,0.0,0,0,0.4209,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133025,0.0,0,0,0.3898,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133026,0.0,0,0,0.6018,Low,0.0,0.0,0.0,0.0,Premium,Standard retention nurture
133027,0.0001,0,0,0.3333,Low,0.0,1.0,0.0,0.0,Standard,Standard retention nurture
133028,0.0482,0,0,0.3809,Low,0.0184,673.0,202.0,202.0,Standard,Standard retention nurture
133029,1.0,1,1,0.1048,Critical,0.1048,2405.0,722.0,222.0,Basic,Relationship manager follow-up
133030,0.0338,0,0,0.2019,Low,0.0068,126.0,38.0,38.0,Basic,Standard retention nurture
133031,0.0,0,0,0.393,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133032,0.0,0,0,0.2445,Low,0.0,0.0,0.0,0.0,Basic,Standard retention nurture
133033,0.0028,0,0,0.6041,Low,0.0017,82.0,25.0,25.0,Premium,Standard retention nurture
133034,0.0,0,0,0.2981,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133035,0.0,0,0,0.3108,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133036,0.0,0,0,0.1739,Low,0.0,0.0,0.0,0.0,Basic,Standard retention nurture
133037,0.9938,1,1,0.1013,Critical,0.1007,2339.0,702.0,202.0,Basic,Relationship manager follow-up
133038,0.0,0,0,0.3398,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133039,0.0,0,0,0.5495,Low,0.0,0.0,0.0,0.0,Premium,Standard retention nurture
133040,1.0,1,1,0.0863,Critical,0.0863,984.0,295.0,-205.0,Basic,Relationship manager follow-up
133041,0.0,0,0,0.4241,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133042,0.0,0,0,0.5646,Low,0.0,0.0,0.0,0.0,Premium,Standard retention nurture
133043,0.0,0,0,0.4167,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133044,0.9999,1,1,0.1137,Critical,0.1137,2908.0,872.0,372.0,Basic,Relationship manager follow-up
133045,0.0,0,0,0.3923,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133046,0.0014,0,0,0.5108,Low,0.0007,26.0,8.0,8.0,Premium,Standard retention nurture
133047,0.0,0,0,0.4846,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133048,0.0,0,0,0.5339,Low,0.0,0.0,0.0,0.0,Premium,Standard retention nurture
133049,0.0,0,0,0.6299,Low,0.0,0.0,0.0,0.0,Premium,Standard retention nurture
133050,0.0,0,0,0.355,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133051,0.0001,0,0,0.4283,Low,0.0,1.0,0.0,0.0,Standard,Standard retention nurture
133052,0.0006,0,0,0.1903,Low,0.0001,3.0,1.0,1.0,Basic,Standard retention nurture
133053,0.0,0,0,0.3176,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133054,0.002,0,0,0.4301,Low,0.0009,50.0,15.0,15.0,Standard,Standard retention nurture
133055,0.0002,0,0,0.2045,Low,0.0,2.0,1.0,1.0,Basic,Standard retention nurture
133056,0.0,0,0,0.4438,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133057,0.0006,0,0,0.5972,Low,0.0004,14.0,4.0,4.0,Premium,Standard retention nurture
133058,0.0,0,0,0.1737,Low,0.0,0.0,0.0,0.0,Basic,Standard retention nurture
133059,0.0002,0,0,0.2015,Low,0.0,0.0,0.0,0.0,Basic,Standard retention nurture
133060,0.0,0,0,0.5389,Low,0.0,0.0,0.0,0.0,Premium,Standard retention nurture
133061,0.0,0,0,0.2962,Low,0.0,0.0,0.0,0.0,Standard,Standard retention nurture
133062,0.0,0,0,0.5046,Low,0.0,0.0,0.0,0.0,Premium,Standard retention nurture
133063,0.3607,1,0,0.7226,Medium,0.2606,12308.0,3692.0,3192.0,Premium,Relationship manager follow-up
